age,sexe,situation_familiale,revenu_mensuel,type_contrat_travail,anciennete_travail_mois,montant_credit,duree_mois,taux_interet,type_credit,nb_retards_30j,nb_retards_60j,nb_retards_90j,taux_endettement,ratio_dette_revenu,defaut,probabilite_defaut,prediction_defaut
26,F,celibataire,1112657,Informel,153,53468,71,3.88,conso,0,1,0,51.5,0.05,1,0.058466347226323434,0
43,F,divorce,648596,CDI,239,3339451,68,12.69,scolaire,2,0,0,16.3,5.15,1,0.8611264731094908,1
19,H,marie,215669,Independant,9,2937993,12,8.76,immobilier,0,0,0,61.22,13.62,1,0.9999999998776472,1
37,H,divorce,241860,Informel,12,116083,58,5.19,immobilier,0,0,0,78.02,0.48,1,0.9025558459585132,1
45,H,marie,1062524,CDD,139,1332843,11,3.67,conso,0,1,0,41.18,1.25,0,0.15341757543355966,0
64,F,divorce,1178053,CDI,113,859858,12,5.39,scolaire,0,0,0,77.18,0.73,1,0.722611578258125,1
24,H,celibataire,712549,Informel,166,2988341,49,17.36,auto,1,0,0,7.6,4.19,1,0.3945230914287657,1
61,H,celibataire,706754,CDI,156,4389812,23,13.91,scolaire,1,0,0,7.68,6.21,1,0.9090995515577215,1
25,H,divorce,375215,CDI,8,4820728,59,10.92,auto,0,0,0,77.0,12.85,1,0.9999999999388107,1
64,H,divorce,543819,CDI,202,1258610,34,17.12,auto,0,1,0,57.52,2.31,1,0.9366425178874561,1
52,H,marie,150560,CDD,217,2644140,30,12.29,conso,1,0,0,19.15,17.56,1,0.9999999999603801,1
31,H,divorce,859680,Independant,175,3341723,68,13.88,auto,2,0,0,32.29,3.89,1,0.8861238652095033,1
34,H,divorce,1467482,Independant,36,4180018,18,7.24,immobilier,2,0,0,43.08,2.85,0,0.6760121799561315,1
53,F,marie,1295047,Informel,125,4234052,37,11.83,conso,1,0,0,57.7,3.27,1,0.9721901305224564,1
57,F,marie,594295,CDD,50,1417089,32,5.15,scolaire,0,1,0,68.15,2.38,1,0.9783121390340319,1
21,F,marie,1372989,Independant,107,1427123,56,9.07,scolaire,0,1,0,11.2,1.04,0,0.0020381204695871066,0
19,H,divorce,1317087,Informel,9,3182113,39,3.5,auto,1,0,0,54.24,2.42,1,0.8553649119081188,1
23,H,marie,1357205,Informel,233,4551661,33,6.25,immobilier,1,0,0,40.75,3.35,1,0.8859202785429391,1
59,F,celibataire,866960,CDI,188,4342935,35,4.12,scolaire,1,0,0,49.82,5.01,1,0.9946630339288648,1
21,H,celibataire,1237382,CDD,200,4772408,14,8.82,auto,1,0,0,43.14,3.86,1,0.9597388588106539,1
46,F,celibataire,1289962,Independant,67,4080322,18,15.65,scolaire,0,0,0,38.8,3.16,1,0.6409843072152273,1
35,H,divorce,707267,CDD,53,359982,69,8.67,immobilier,1,0,0,20.41,0.51,0,0.003992899388843948,0
43,H,celibataire,1015551,CDD,82,1351112,43,15.47,auto,0,0,0,40.43,1.33,0,0.1522598307065879,0
61,F,divorce,1163685,Independant,110,2059414,27,12.85,immobilier,1,0,0,19.22,1.77,0,0.011451140819396301,0
51,F,divorce,1438218,Independant,227,2553525,36,10.64,auto,0,0,1,8.35,1.78,1,0.987826286155794,1
27,F,celibataire,1446528,CDD,145,3839040,47,6.55,immobilier,1,0,0,33.04,2.65,0,0.2897976987518612,0
53,F,marie,816152,Informel,228,3976719,67,16.83,scolaire,0,0,0,6.87,4.87,1,0.5762756191026474,1
31,F,divorce,455987,CDD,53,4602404,69,3.81,scolaire,1,0,0,47.19,10.09,1,0.9999994650685416,1
48,H,celibataire,586775,Independant,156,1306919,14,13.33,immobilier,2,0,0,10.43,2.23,0,0.01733145260891509,0
32,H,divorce,1465140,CDD,114,1612266,49,12.32,scolaire,1,1,0,37.82,1.1,0,0.07309761424348009,0
25,H,marie,1498167,Independant,63,2153884,68,9.62,scolaire,0,0,0,78.51,1.44,1,0.9619016148905623,1
31,F,marie,544702,Informel,143,2382582,45,6.6,auto,2,1,0,5.74,4.37,1,0.4024745018170273,1
40,F,celibataire,1195472,CDD,19,2393480,46,9.46,immobilier,1,0,0,32.51,2.0,0,0.10316186523065293,0
57,F,divorce,1232007,Informel,124,4897167,55,16.09,auto,0,0,0,55.49,3.97,1,0.9898114363004579,1
38,F,divorce,495162,CDD,86,3731327,25,15.55,scolaire,1,0,0,16.92,7.54,1,0.998038082029891,1
33,F,divorce,1333914,CDD,70,774629,47,17.12,scolaire,1,0,0,47.06,0.58,0,0.07360955131932322,0
62,F,divorce,888593,Independant,47,4111667,38,7.62,conso,0,0,0,24.36,4.63,1,0.7807733768728659,1
35,H,celibataire,107738,CDI,199,3706861,68,8.81,immobilier,0,0,0,21.71,34.41,1,1.0,1
64,H,marie,137153,Independant,108,482795,62,3.28,immobilier,1,0,0,72.12,3.52,1,0.9984699033743297,1
41,H,celibataire,141009,CDD,176,3400678,70,17.14,auto,0,0,0,20.25,24.12,1,0.9999999999999996,1
43,H,divorce,965978,CDI,201,2485296,57,7.94,immobilier,0,0,1,33.24,2.57,1,0.9999386091406179,1
42,H,divorce,564469,CDI,20,1278162,11,9.06,auto,0,0,0,17.72,2.26,0,0.04709630571618899,0
62,F,marie,1446991,Informel,37,60300,12,16.62,scolaire,1,0,1,26.29,0.04,1,0.9723785793400158,1
58,F,divorce,876229,CDD,203,3785391,14,10.9,conso,0,1,0,26.98,4.32,1,0.8454371649596282,1
46,F,celibataire,1476850,Independant,130,2968147,66,11.49,scolaire,0,0,0,29.51,2.01,0,0.054496414763155206,0
32,F,celibataire,151942,CDI,192,1540752,39,5.64,auto,0,0,0,53.08,10.14,1,0.9999997633341786,1
62,F,marie,198065,CDI,214,695515,40,10.48,auto,0,1,1,60.69,3.51,1,0.9999998134453515,1
18,F,celibataire,1404685,Independant,36,440305,25,16.77,conso,1,0,0,43.3,0.31,0,0.023379812752061767,0
42,H,celibataire,1404453,Independant,133,2010315,63,11.38,scolaire,0,1,0,50.79,1.43,1,0.3647158850283596,1
24,F,celibataire,526439,CDI,64,1782026,65,6.83,immobilier,4,0,0,66.0,3.39,1,0.9944725774888739,1
26,F,celibataire,762286,Independant,7,3834703,59,3.47,conso,1,0,0,79.97,5.03,1,0.999930110858708,1
41,F,divorce,764143,Informel,198,4220076,40,8.04,immobilier,2,0,1,39.24,5.52,1,0.9999998444115066,1
18,F,celibataire,687648,CDI,120,4260632,52,11.59,scolaire,0,0,0,75.23,6.2,1,0.9999894651119206,1
61,H,marie,1296042,Informel,22,469870,51,3.64,conso,0,1,0,41.78,0.36,0,0.022994831099415802,0
25,H,marie,1499098,CDD,202,4905878,9,12.15,scolaire,1,0,0,63.65,3.27,1,0.9924203166274798,1
41,F,celibataire,800156,Informel,46,3103569,15,10.85,scolaire,1,0,0,47.99,3.88,1,0.9673735224845322,1
28,H,marie,370431,Independant,168,4596705,45,14.75,immobilier,0,0,0,71.3,12.41,1,0.999999999806499,1
34,H,celibataire,1210680,CDI,189,3738626,60,3.43,immobilier,1,0,0,38.65,3.09,1,0.682615414618492,1
25,F,marie,1477636,Informel,110,3122263,45,14.71,immobilier,0,0,0,57.19,2.11,1,0.8526785474568527,1
52,F,marie,312321,Independant,46,522374,28,10.81,scolaire,1,0,0,39.97,1.67,0,0.25331323792727944,0
52,F,celibataire,217837,Independant,212,209947,20,8.56,auto,0,0,0,69.28,0.96,1,0.8203905995113504,1
50,F,celibataire,524842,Informel,28,3250810,10,17.48,scolaire,0,2,1,79.58,6.19,1,0.9999999998268858,1
22,F,divorce,824067,CDI,87,597514,45,5.4,auto,0,0,0,23.25,0.73,0,0.0058197414401097575,0
59,H,celibataire,221879,Informel,35,2961261,23,11.12,conso,0,0,0,40.58,13.35,1,0.9999999942746554,1
56,F,celibataire,90204,CDD,129,1396568,26,7.81,immobilier,0,0,1,11.09,15.48,1,0.999999999999702,1
58,F,divorce,793304,Informel,157,4867883,8,10.91,immobilier,0,0,0,15.57,6.14,1,0.9604388514566935,1
45,F,celibataire,182903,Informel,9,3582099,51,11.28,scolaire,0,0,0,74.69,19.58,1,0.9999999999999984,1
24,H,celibataire,495874,CDI,9,900086,58,4.34,auto,1,0,0,45.77,1.82,0,0.5007674089102938,1
26,F,divorce,903513,Informel,22,728794,25,12.92,conso,0,0,0,34.63,0.81,0,0.02955856434135273,0
25,F,celibataire,860975,Independant,191,2253002,64,12.52,scolaire,0,0,0,55.36,2.62,1,0.9218232710252284,1
29,F,celibataire,945754,CDI,194,4238950,26,14.54,conso,0,0,0,47.01,4.48,1,0.989718858812038,1
51,H,divorce,654592,Independant,208,1034766,56,4.36,auto,0,0,0,26.65,1.58,0,0.043552200691735335,0
50,F,divorce,1449268,CDI,232,4817509,30,7.46,immobilier,0,0,0,22.0,3.32,1,0.20284278539547082,0
40,F,marie,1108341,CDD,186,916236,15,12.75,immobilier,2,1,0,49.27,0.83,0,0.21821371377954607,0
41,F,celibataire,1489167,CDD,70,3897833,14,5.05,auto,0,1,0,19.12,2.62,0,0.05247924185115612,0
54,H,marie,416239,CDD,183,927727,34,13.16,immobilier,1,0,0,15.44,2.23,0,0.0575622515872884,0
52,F,marie,1220170,Informel,141,1085016,42,3.89,scolaire,1,0,0,28.88,0.89,0,0.009271453915666897,0
61,F,divorce,430425,CDD,225,2861114,43,8.02,auto,2,1,0,69.6,6.65,1,0.9999907398111778,1
57,F,celibataire,905177,CDI,147,4651284,64,15.7,immobilier,0,1,0,7.76,5.14,1,0.6373661881400648,1
39,H,celibataire,582939,CDD,207,975894,62,14.61,auto,0,0,0,67.49,1.67,1,0.9516623084802335,1
44,F,divorce,1302196,CDI,161,4274476,65,12.67,conso,0,0,2,51.57,3.28,1,0.9999999999162497,1
52,F,marie,221753,Independant,202,3581808,33,16.06,scolaire,1,0,0,8.03,16.15,1,0.999999997561134,1
18,F,divorce,218056,Informel,65,677800,33,13.64,scolaire,0,1,0,50.15,3.11,1,0.9704272840187347,1
52,H,celibataire,238651,Independant,188,745902,51,10.79,scolaire,1,0,1,36.95,3.13,1,0.9999890816079886,1
54,H,divorce,314347,Independant,140,3614780,60,17.7,immobilier,0,0,0,68.08,11.5,1,0.9999999977669398,1
64,F,celibataire,766841,CDD,43,3158746,43,13.42,conso,0,0,0,73.04,4.12,1,0.9990997027351095,1
31,H,marie,1129520,CDD,221,3086319,23,12.02,immobilier,1,0,1,26.49,2.73,1,0.9999283432796184,1
20,H,celibataire,698281,CDD,17,711311,68,9.13,immobilier,1,0,0,63.81,1.02,1,0.7581699354057341,1
18,H,marie,351258,Independant,68,3473047,10,16.54,auto,0,0,0,28.24,9.89,1,0.9999959783055271,1
22,F,marie,906278,Informel,29,2551395,49,7.44,scolaire,0,0,0,27.17,2.82,0,0.3141018542839261,1
43,F,celibataire,819026,Informel,183,3303537,34,3.14,immobilier,1,0,0,19.45,4.03,1,0.4689393863494903,1
31,H,celibataire,1337496,Independant,135,1973625,19,5.95,scolaire,0,1,1,55.89,1.48,1,0.9999707672953431,1
56,H,marie,1385381,Informel,44,717527,63,4.64,conso,3,1,0,24.63,0.52,0,0.0033044811125158623,0
44,H,divorce,1423316,Independant,205,4660580,49,7.78,conso,0,0,0,39.86,3.27,1,0.7640217719556195,1
26,F,celibataire,708375,Independant,133,2274462,23,15.39,scolaire,0,0,0,65.91,3.21,1,0.992962085922365,1
32,F,marie,1072791,Informel,188,1427276,12,12.77,scolaire,1,1,0,64.39,1.33,1,0.8376098788259595,1
32,H,marie,873339,CDI,134,3142037,67,5.53,conso,0,0,0,69.16,3.6,1,0.9980173287970796,1
43,H,divorce,335035,CDI,226,938580,50,14.83,conso,0,0,0,17.08,2.8,0,0.15806119849554898,0
59,H,celibataire,1287762,CDD,7,4254789,21,10.56,immobilier,0,0,1,49.02,3.3,1,0.9999963563646043,1
30,H,marie,426990,Informel,174,1464466,69,10.69,conso,1,0,0,73.61,3.43,1,0.9991757954141812,1
49,F,divorce,885428,CDD,185,1874682,42,8.43,immobilier,1,0,0,8.15,2.12,0,0.008293443968474321,0
56,H,marie,1419487,Independant,54,2680242,30,15.97,conso,1,0,0,64.59,1.89,1,0.8791394999379786,1
49,F,celibataire,1407067,CDI,220,2647192,14,7.77,immobilier,0,1,0,23.47,1.88,0,0.02447395001719824,0
21,H,divorce,182063,Informel,46,869746,60,4.41,auto,0,0,0,55.22,4.78,1,0.9989576864680015,1
47,H,marie,450729,Informel,138,1877154,33,7.54,auto,0,0,1,58.81,4.16,1,0.9999999213703556,1
54,H,divorce,1196014,Informel,4,1015802,14,13.73,immobilier,0,0,0,74.42,0.85,1,0.811624998050566,1
40,H,celibataire,1224935,CDI,195,3171958,17,12.86,scolaire,0,2,1,43.16,2.59,1,0.9999864873623937,1
56,H,divorce,503756,CDD,153,1577699,23,5.82,auto,2,1,1,68.62,3.13,1,0.9999998505788551,1
62,F,celibataire,734539,CDI,215,1933392,61,4.68,conso,0,0,0,8.4,2.63,0,0.013791289909178757,0
32,H,marie,536985,CDD,91,914685,63,12.91,scolaire,0,0,0,36.54,1.7,0,0.29975190064994606,0
60,H,celibataire,776203,Independant,206,4176202,56,13.15,conso,0,0,0,37.96,5.38,1,0.9926824698007495,1
46,H,marie,107690,Independant,61,2280306,37,8.49,auto,0,0,0,45.37,21.17,1,0.9999999999999964,1
53,F,marie,607282,CDD,166,4167036,53,15.64,conso,0,0,0,41.1,6.86,1,0.9997597667202621,1
30,F,celibataire,1232109,Independant,160,2304485,13,17.67,immobilier,1,0,0,77.6,1.87,1,0.977750342198395,1
49,F,marie,1196122,Independant,151,3205523,35,6.08,scolaire,0,0,1,10.89,2.68,1,0.998456521135722,1
24,F,divorce,420716,Informel,111,4551757,31,11.66,auto,1,0,0,24.88,10.82,1,0.9999979876681518,1
39,H,marie,630755,Informel,232,2901076,29,3.08,scolaire,0,0,0,77.65,4.6,1,0.9999003411611529,1
45,H,celibataire,850878,CDI,37,3504207,32,13.7,immobilier,0,0,0,38.4,4.12,1,0.941120387520637,1
19,H,divorce,735408,CDI,3,4075047,44,9.21,auto,2,0,0,47.84,5.54,1,0.9989908428624604,1
59,F,divorce,248050,CDI,227,547502,71,5.9,conso,1,0,0,11.08,2.21,0,0.01669617794443552,0
62,H,marie,593672,Informel,13,1882359,56,14.28,scolaire,1,2,1,26.3,3.17,1,0.9999729708042449,1
23,H,marie,1079078,CDI,162,2573636,55,15.16,auto,0,0,0,7.97,2.39,0,0.025455509497637013,0
45,F,celibataire,959577,CDI,88,2861910,50,4.67,auto,1,0,0,15.31,2.98,0,0.06027570356964834,0
45,F,divorce,784582,Informel,193,2793792,38,3.61,immobilier,0,0,0,52.5,3.56,1,0.9720341939722101,1
61,F,celibataire,652403,CDD,76,2511563,24,8.01,auto,0,0,0,62.27,3.85,1,0.9943373656515555,1
61,H,marie,956038,Informel,8,1808406,18,12.39,auto,0,0,0,70.26,1.89,1,0.9561857032298149,1
37,H,divorce,1183183,CDD,83,4354855,27,14.9,immobilier,0,0,0,23.86,3.68,1,0.5795540765366434,1
47,F,celibataire,1150572,Informel,9,3276536,25,11.19,conso,0,0,0,29.96,2.85,0,0.24735893395620273,0
28,H,celibataire,1052425,CDI,156,170469,10,11.71,conso,1,0,0,47.7,0.16,0,0.04578959402244601,0
45,F,celibataire,1212273,Independant,78,1821571,37,15.0,auto,1,4,0,11.28,1.5,0,0.006834242850077399,0
42,F,celibataire,1436742,Independant,124,3529794,35,10.93,conso,0,0,0,65.5,2.46,1,0.9382127246178288,1
56,H,celibataire,906580,CDD,219,4577322,31,12.17,immobilier,2,0,0,41.25,5.05,1,0.9924363720268662,1
50,F,divorce,432868,CDD,146,2469657,9,10.74,conso,1,1,0,77.41,5.71,1,0.9999834295681848,1
18,F,celibataire,319190,CDD,42,1251048,48,16.21,auto,0,0,0,13.8,3.92,1,0.47795921172507716,1
44,F,divorce,88888,Independant,41,757593,35,6.53,immobilier,0,0,0,15.0,8.52,1,0.9993363649286268,1
30,H,celibataire,515413,CDD,198,3447401,21,6.96,conso,1,0,0,31.14,6.69,1,0.9987779912405463,1
58,F,marie,1081830,Informel,161,4656852,44,4.92,scolaire,1,0,0,20.51,4.3,1,0.6070969609137461,1
20,F,marie,1350008,Informel,229,3171365,46,15.29,scolaire,0,2,1,57.24,2.35,1,0.9999980007408897,1
56,F,celibataire,441085,Independant,234,3578771,36,9.18,immobilier,0,0,0,76.01,8.11,1,0.9999995214423772,1
23,F,marie,359477,Informel,89,1211974,54,8.22,conso,0,0,0,11.74,3.37,1,0.1992039059381812,0
25,F,divorce,581616,CDD,77,488598,18,17.72,auto,0,2,0,23.17,0.84,0,0.020095934815639503,0
44,F,celibataire,640643,Independant,54,3766145,46,16.9,scolaire,1,0,0,22.84,5.88,1,0.9772148622041591,1
26,F,divorce,310487,CDD,215,1701210,33,17.58,conso,0,0,0,43.18,5.48,1,0.9985894005799411,1
54,H,celibataire,733974,Informel,164,2449623,69,5.13,conso,0,0,0,38.9,3.34,1,0.8036399423869226,1
50,H,marie,547119,CDD,97,4228907,24,16.37,auto,1,1,0,59.51,7.73,1,0.9999971320350001,1
59,F,divorce,1063762,Independant,213,4394955,30,7.93,auto,3,0,1,59.95,4.13,1,0.9999998044237727,1
61,H,marie,853890,CDD,98,2692923,43,3.19,conso,0,0,0,47.96,3.15,1,0.9085319398022051,1
41,H,marie,329434,Informel,56,1955888,8,8.87,auto,0,0,0,49.33,5.94,1,0.9996604727061821,1
32,F,celibataire,969602,CDI,100,4253251,7,10.64,immobilier,0,0,0,68.17,4.39,1,0.9990587450668225,1
49,H,divorce,1466395,Independant,145,3898664,10,4.62,scolaire,1,0,1,34.77,2.66,1,0.9999104956798692,1
49,F,marie,1309502,CDD,10,3498788,66,11.07,scolaire,0,1,0,5.93,2.67,0,0.016267990925806924,0
41,F,celibataire,671952,Independant,215,2071242,25,15.29,conso,1,0,0,20.98,3.08,1,0.2167841175298253,0
58,F,celibataire,580638,CDD,44,523945,43,8.66,conso,0,0,0,7.65,0.9,0,0.0007917305709582112,0
29,F,celibataire,690441,CDI,130,2796908,41,8.29,auto,0,0,0,34.51,4.05,1,0.899255963983158,1
56,F,marie,1384925,Informel,227,3655861,51,8.08,scolaire,1,0,0,31.84,2.64,0,0.2524855504822155,0
19,H,celibataire,1030128,CDD,142,4495666,42,16.85,auto,1,0,0,12.4,4.36,1,0.5960644743854706,1
20,F,divorce,651284,CDD,239,4513460,59,3.73,conso,0,2,0,61.63,6.93,1,0.9999905668940796,1
54,H,divorce,389091,CDI,237,1113789,26,9.68,conso,1,1,0,46.48,2.86,0,0.8958070814912414,1
34,F,marie,501172,Independant,169,2043643,26,6.97,conso,0,1,0,21.93,4.08,1,0.7420684379019926,1
19,F,divorce,531813,Informel,130,3291388,65,16.41,conso,1,0,0,61.93,6.19,1,0.9999599585027309,1
19,F,celibataire,732632,CDD,19,2993772,41,4.44,conso,2,0,0,55.09,4.09,1,0.9926130484767499,1
45,H,marie,309685,CDD,80,4815168,16,9.17,conso,1,0,0,19.37,15.55,1,0.9999999987458219,1
40,F,celibataire,407608,Informel,235,3468583,36,9.1,immobilier,2,0,0,78.72,8.51,1,0.9999998741615598,1
54,F,marie,215024,CDI,236,2111882,42,16.33,immobilier,0,0,0,18.31,9.82,1,0.999971716492698,1
49,F,marie,1054384,Independant,89,3445214,65,6.23,auto,1,0,0,62.88,3.27,1,0.9864321075288698,1
50,F,celibataire,263273,Informel,1,1605269,66,12.67,immobilier,1,0,0,77.62,6.1,1,0.9999893694518934,1
18,H,divorce,724742,Independant,130,821935,34,5.02,auto,1,0,0,59.41,1.13,1,0.6665813520555863,1
36,F,divorce,204444,CDI,27,3174899,21,17.31,auto,0,0,0,54.93,15.53,1,0.9999999999847315,1
19,H,marie,454319,CDI,2,4902088,50,11.9,immobilier,2,1,0,72.75,10.79,1,0.9999999976061105,1
61,F,celibataire,384604,Informel,222,4041755,39,12.39,scolaire,0,1,0,25.18,10.51,1,0.9999954386922223,1
43,H,celibataire,1282444,CDD,179,1546418,49,9.51,auto,2,0,0,25.79,1.21,0,0.01504398283160054,0
49,H,marie,242818,CDI,138,2418496,47,8.13,conso,1,0,0,53.09,9.96,1,0.9999997492870267,1
23,F,divorce,560001,CDI,19,755829,40,6.19,auto,2,0,0,71.16,1.35,1,0.9159147972498546,1
49,F,celibataire,1128591,Informel,234,1776967,35,12.06,auto,0,0,1,51.3,1.57,1,0.9999534451623011,1
21,H,divorce,1285605,Informel,208,1232864,58,17.32,scolaire,0,0,0,78.28,0.96,1,0.943189151838597,1
28,F,divorce,685829,Informel,141,4347278,63,8.4,conso,2,0,0,21.72,6.34,1,0.9909608536421708,1
34,F,marie,242948,CDI,176,4663898,33,16.25,scolaire,0,2,0,66.94,19.2,1,0.9999999999999971,1
55,F,marie,796087,Independant,114,2248079,20,5.23,scolaire,1,0,0,74.54,2.82,1,0.9929748825233794,1
41,H,divorce,1175622,CDI,56,4585334,43,17.04,scolaire,0,2,0,37.03,3.9,1,0.9358792999051776,1
22,F,celibataire,1138335,Informel,200,4531973,55,8.26,auto,0,0,0,77.15,3.98,1,0.9995418538102743,1
51,F,celibataire,1308080,CDD,184,3617516,18,8.7,conso,1,0,1,20.16,2.77,1,0.9995299556855155,1
23,F,marie,1397132,CDD,178,4936743,40,9.94,conso,0,1,1,76.46,3.53,1,0.9999999710154048,1
39,H,divorce,362648,Informel,95,2723487,29,13.77,scolaire,0,0,1,72.71,7.51,1,0.9999999999603613,1
28,F,celibataire,1499220,CDD,173,169786,70,13.79,immobilier,0,0,0,9.96,0.11,0,0.00023441770199849154,0
33,H,celibataire,350651,CDI,217,4861016,23,10.19,conso,0,0,0,44.1,13.86,1,0.9999999990093871,1
50,F,marie,1149626,Independant,187,1513735,63,10.85,conso,0,0,0,44.66,1.32,0,0.1752931030085477,0
26,H,divorce,478036,CDI,167,3974584,31,3.45,scolaire,0,1,0,9.27,8.31,1,0.9988681070250129,1
23,F,celibataire,566383,Informel,149,4260044,34,7.56,auto,1,0,0,7.96,7.52,1,0.9931318373793508,1
33,F,marie,1228729,CDI,183,4729501,49,8.19,scolaire,0,0,0,5.38,3.85,1,0.10900091334669278,0
46,H,celibataire,311329,CDD,57,1980410,10,11.38,immobilier,1,1,0,44.34,6.36,1,0.9996605668538432,1
